geo,TIME_PERIOD,Gross_electricity_production,Final_consumption
Luxembourg,2021,2210.988,6392.858
Luxembourg,2022,2238.059,6143.153
Luxembourg,2023,2390.54,
Latvia,2014,5139.351,6582
Latvia,2015,5533.49,6461
Latvia,2016,6424.41,6482
Latvia,2017,7531.189,6484.641
Latvia,2018,6724.875,6662.141
Latvia,2019,6438.385,6636.514
Latvia,2020,5724.844,6688.883
Latvia,2021,5846.221,6930.288
Latvia,2022,4997.085,6717.584
Latvia,2023,6387.576,
Malta,2014,2245,2005
Malta,2015,1304.99,2114
Malta,2016,857.084,2117.23
Malta,2017,1651.778,2319.594
Malta,2018,1962.48,2390.217
Malta,2019,2059.829,2479.33
Malta,2020,2143.076,2368.143
Malta,2021,2214.879,2504.737
Malta,2022,2293.466,2696.428
Malta,2023,2345.036,
Netherlands,2014,103358.696,107291.285
Netherlands,2015,110213.427,109470.968
Netherlands,2016,115158.408,110601.074
Netherlands,2017,117167.739,111554.553
Netherlands,2018,114379.713,113710.368
Netherlands,2019,121411.247,113371.421
Netherlands,2020,123278.13,111291.328
Netherlands,2021,122093.113,111941.786
Netherlands,2022,121809.934,108847.662
Netherlands,2023,121331.214,
Poland,2014,159059,136307.473
Poland,2015,164944,138926.62
Poland,2016,166635,143762.5
Poland,2017,170465.352,146424.864
Poland,2018,170039.461,151398.376
Poland,2019,163988.501,152001.983
Poland,2020,158042.741,148241.111
Poland,2021,179631.134,157313.167
Poland,2022,179748.121,154822.897
Poland,2023,166401.952,
Portugal,2014,52802.68,46139
Portugal,2015,52420.046,46849
Portugal,2016,60329.262,47359.322
Portugal,2017,59431.721,47660.588
Portugal,2018,59636.081,48897.005
Portugal,2019,53154.17,48810.498
Portugal,2020,53078.401,47179.281
Portugal,2021,50979.561,48116.521
Portugal,2022,48807.732,49470.232
Portugal,2023,48952.854,
Romania,2014,65676,45808
Romania,2015,66296,46798
Romania,2016,65103,47142
Romania,2017,64296.019,48860.709
Romania,2018,64876.464,49777.628
Romania,2019,59622.805,49619.083
Romania,2020,55934.902,48062.637
Romania,2021,59470.264,49623.168
Romania,2022,56002.62,45407.272
Romania,2023,57511.3,
Sweden,2014,153663,125041
Sweden,2015,162112,127801
Sweden,2016,156010,130614
Sweden,2017,164250,130459
Sweden,2018,163400,130571
Sweden,2019,168439,127356
Sweden,2020,163833,125728
Sweden,2021,171798,130574
Sweden,2022,173159,125754
Sweden,2023,165822,
Slovenia,2014,17437,12559
Slovenia,2015,15100,12895
Slovenia,2016,16500,13120
Slovenia,2017,16326.225,13622.626
Slovenia,2018,16326.935,13807.675
Slovenia,2019,16099.564,13775.681
Slovenia,2020,17190.698,13046.905
Slovenia,2021,15876.922,13550.049
Slovenia,2022,13615.501,13125.501
Slovenia,2023,15996.596,
Slovakia,2014,27401,25083
Slovakia,2015,26903,25359
Slovakia,2016,27064,25966
Slovakia,2017,27738,27016
Slovakia,2018,26971,26872
Slovakia,2019,28434,26016
Slovakia,2020,28838,24695
Slovakia,2021,30016,26457
Slovakia,2022,26838,23969
Slovakia,2023,29672,
Norway,2014,141970,116165.888
Norway,2015,144546,119172.806
Norway,2016,149042,122540.41
Norway,2017,149480,123877.125
Norway,2018,147097.186,126639.181
Norway,2019,134906.699,125211.538
Norway,2020,155195.666,125545.088
Norway,2021,157922.151,131011.016
Norway,2022,146730.943,124572.832
Norway,2023,154894.918,
